20.9.2012 16:24:16;2,0;1,3;2,1;1,9;1,9;102285;22;14;-7,3
20.9.2012 16:24:41;2,0;1,3;2,1;1,9;1,9;102284;22;14;-7,3
20.9.2012 16:25:06;2,0;1,3;2,1;1,9;1,9;102282;22;14;-7,3
20.9.2012 16:25:31;2,0;1,3;2,1;1,9;1,9;102290;22;14;-7,3
20.9.2012 16:25:57;2,0;1,3;2,1;1,9;1,9;102284;22;14;-7,3
20.9.2012 16:26:22;2,0;1,3;2,1;1,9;1,9;102283;22;14;-7,3
20.9.2012 16:26:47;2,0;1,3;2,1;1,9;1,9;102285;22;14;-7,3
20.9.2012 16:27:12;2,0;1,3;2,1;1,9;1,9;102288;22;14;-7,3
20.9.2012 16:27:37;2,0;1,3;2,1;1,9;1,9;102293;22;14;-7,3
20.9.2012 16:28:02;2,0;1,3;2,1;1,8;1,9;102281;23;14;-6,7
20.9.2012 16:28:27;2,0;1,3;2,1;1,8;1,9;102294;22;14;-7,3
20.9.2012 16:28:52;2,0;1,3;2,1;1,8;1,9;102296;23;14;-6,7
20.9.2012 16:29:17;2,0;1,3;2,1;1,9;1,9;102294;22;14;-7,3
20.9.2012 16:29:42;2,0;1,3;2,1;1,9;1,9;102291;23;14;-6,7
20.9.2012 16:30:07;2,0;1,3;2,1;1,9;1,9;102291;23;14;-6,7
20.9.2012 16:30:32;8,5;8,5;8,5;8,5;8,5;102297;22;14;-7,3
20.9.2012 16:30:57;2,0;1,3;2,1;1,8;1,9;102294;22;14;-7,3
20.9.2012 16:31:23;2,0;1,3;2,1;1,9;1,9;102293;22;14;-7,3
20.9.2012 16:31:48;2,0;1,3;2,1;1,9;1,9;102290;22;14;-7,3
20.9.2012 16:32:13;2,0;1,3;2,1;1,9;1,9;102289;22;14;-7,3
20.9.2012 16:32:39;2,0;1,3;2,1;1,9;1,9;102293;22;14;-7,3
20.9.2012 16:33:04;2,0;1,3;2,1;1,8;1,9;102282;22;14;-7,3
20.9.2012 16:33:29;2,0;1,3;2,1;1,8;1,9;102291;23;14;-6,7
20.9.2012 16:42:55;2,0;1,3;2,1;1,8;1,9;102313;22;13;-8,1
20.9.2012 16:43:20;2,0;1,3;2,1;1,8;1,9;102315;22;13;-8,1
20.9.2012 16:44:27;2,0;1,3;2,1;1,8;1,9;102309;22;13;-8,1
20.9.2012 16:44:52;2,0;1,3;2,1;1,8;1,9;102319;22;13;-8,1
20.9.2012 16:45:17;2,0;1,3;2,1;1,8;1,9;102304;22;13;-8,1
20.9.2012 16:45:43;2,0;1,3;2,1;1,8;1,9;102309;22;13;-8,1
20.9.2012 16:46:08;2,0;1,3;2,1;1,8;1,9;102313;22;13;-8,1
20.9.2012 16:46:33;2,0;1,3;2,1;1,8;1,9;102294;22;13;-8,1
20.9.2012 16:46:58;2,0;1,3;2,1;1,8;1,9;102297;22;13;-8,1
20.9.2012 16:47:23;2,0;1,3;2,1;1,8;1,9;102292;22;13;-8,1
20.9.2012 16:47:48;2,0;1,3;2,1;1,8;1,9;102288;22;13;-8,1
20.9.2012 16:48:13;2,0;1,3;2,1;1,8;1,9;102280;22;13;-8,1
20.9.2012 16:48:38;2,0;1,3;2,1;1,8;1,9;102291;22;13;-8,1
20.9.2012 16:49:05;2,0;1,3;2,1;1,8;1,9;102293;23;13;-7,6
20.9.2012 16:49:30;2,0;1,3;2,1;1,8;1,9;102290;22;13;-8,1
20.9.2012 16:49:55;2,0;1,3;2,1;1,8;1,9;102298;22;13;-8,1
20.9.2012 16:50:20;2,0;1,3;2,1;1,8;1,9;102308;22;13;-8,1
20.9.2012 16:50:45;2,0;1,3;2,1;1,8;1,9;102289;23;13;-7,6
20.9.2012 16:51:10;2,0;1,3;2,1;1,8;1,9;102287;23;13;-7,6
20.9.2012 16:51:35;2,0;1,3;2,1;1,8;1,9;102294;22;13;-8,1
20.9.2012 16:52:00;2,0;1,3;2,1;1,8;1,9;102287;22;13;-8,1
20.9.2012 16:52:25;2,0;1,3;2,1;1,8;1,9;102282;22;13;-8,1
20.9.2012 16:52:50;2,0;1,3;2,1;1,8;1,9;102287;23;13;-7,6
20.9.2012 17:03:12;2,0;1,2;2,0;1,8;1,9;102291;22;13;-8,1
20.9.2012 17:03:37;2,0;1,3;2,0;1,8;1,9;102290;22;13;-8,1
